8,Lukas Graham,2,5,158,2015
9,Coldplay,4,8,203,2015
10,Sigala,14,2,548,2015
11,Drake,8,9,274,2015
12,Ariana Grande,6,7,237,2015
13,Charlie Puth feat. Meghan Trainor,7,11,206,2015
14,Diggy Dex ft. JW Roy,5,10,185,2015
15,Zara Larsson & MNEK,5,9,182,2015
16,Mr Polska & Ronnie Flex,10,3,390,2015
17,Sam Hunt,14,9,441,2015
18,Lost Frequencies feat. Janieck Devy,22,3,730,2015
19,Ellie Goulding,11,8,366,2015
20,Calvin Harris + Disciples,20,1,716,2015
21,Armin van Buuren feat. Kensington,5,12,192,2015
22,Naughty Boy featuring Beyoncé and Arrow Benjamin,10,14,275,2015
23,Shaggy feat. Mohombi, Faydee, Costi,16,8,460,2015
24,Miss Montreal,3,23,68,2015
25,Marco Borsato,7,14,202,2015
26,Hailee Steinfeld,6,26,111,2015
27,The Weeknd,25,2,719,2015
28,R.City feat. Adam Levine,21,4,568,2015
29,James Bay,4,29,44,2015
30,Years & Years,15,22,168,2015
31,Kygo feat. Ella Henderson,13,11,286,2015
32,Kensington,9,19,168,2015
33,Haevn,1,25,52,2015
34,Axwell & Ingrosso,19,6,452,2015
35,Nothing But Thieves,2,35,9,2015
36,Jasmine Thompson,1,35,12,2015
37,Dyna & Firstman & Lil Kleine & Bollebof,10,19,116,2015
38,Felix Jaehn feat. Polina,4,30,29,2015
39,Eva Simons ft. Sidney Samson,1,33,19,2015
40,Omi,10,24,103,2015
1,Justin Bieber,6,1,373,2015
2,Adele,6,1,392,2015
3,Justin Bieber,2,2,222,2015
1,Adele,5,1,392,2015
2,Justin Bieber,5,1,373,2015
3,Justin Bieber,13,1,639,2015
4,Shawn Mendes,6,4,367,2015
5,Zara Larsson,13,3,560,2015
6,Robin Schulz (feat. Francesco Yates),9,4,419,2015
7,Ariana Grande,4,7,237,2015
8,Mr Polska & Ronnie Flex,8,3,390,2015
9,Sigala,12,2,548,2015
10,Drake,6,9,274,2015
11,Calvin Harris + Disciples,18,1,716,2015
12,Justin Bieber,1,2,222,2015
13,Lost Frequencies feat. Janieck Devy,20,3,730,2015
14,Armin van Buuren feat. Kensington,3,12,192,2015
15,Sam Hunt,12,9,441,2015
16,Marco Borsato,5,14,202,2015
17,Coldplay,2,8,203,2015
18,Ellie Goulding,9,8,366,2015
19,Shaggy feat. Mohombi, Faydee, Costi,14,8,460,2015
1,Adele,4,1,392,2015
2,Justin Bieber,4,1,373,2015
3,Justin Bieber,12,1,639,2015
4,Zara Larsson,12,3,560,2015
5,Shawn Mendes,5,4,367,2015
6,Sigala,11,2,548,2015
7,Robin Schulz (feat. Francesco Yates),8,4,419,2015
8,Mr Polska & Ronnie Flex,7,3,390,2015
9,Calvin Harris + Disciples,17,1,716,2015
10,Ariana Grande,3,7,237,2015
11,Lost Frequencies feat. Janieck Devy,19,3,730,2015
12,Drake,5,9,274,2015
13,Sam Hunt,11,9,441,2015
14,Ellie Goulding,8,8,366,2015
15,Armin van Buuren feat. Kensington,2,12,192,2015
16,Marco Borsato,4,14,202,2015
17,Shaggy feat. Mohombi, Faydee, Costi,13,8,460,2015
18,The Weeknd,22,2,719,2015
19,R.City feat. Adam Levine,18,4,568,2015
